recall_Recommend_article,recall_Content_surprise,recall_view_opinion,PID,treatment,article,study,topic_inv_drug_overdose_vlaue_opinion,topic_inv_defend_view_point_drugOverdose,topic_inv_learning_drug_overdose,topic_inv_motivation_gaining_knowledge,att_elic_drug_overdose_opinion_pre,att_elic_combat_drug_priority_pre,att_elic_opinion_on_drug_legalization_pre,att_elic_drug_overdose_opinion_post,att_elic_combat_drug_priority_post,att_elic_opinion_on_drug_legalization_post,gender,race,education,age,race-Comment,education-Comment,gender-Comment,survey_start,study_finish,study_duration,cogref_race,cogref_sheep,cogref_name,cogref_volume,cogref_Superbowl,exclude
Moderately,A little,Moderately,e7a153af443f,txt,drugOverdose,two,A little,Moderately,Moderately,Moderately,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,Undergraduate,36,,,,1679514186997.0,1679515775515.0,26.4753,1st,8,June,27,"The Eagles lost to the Chiefs in a game affected by poor field conditions, which slowed down their pass rushers and was a point of frustration for the players.",0
Moderately,A little,Moderately,e7a153af443f,txt,population,two,A little,Moderately,Moderately,Moderately,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,Undergraduate,36,,,,1679514186997.0,1679515775515.0,26.4753,1st,8,June,27,"The Eagles lost to the Chiefs in a game affected by poor field conditions, which slowed down their pass rushers and was a point of frustration for the players.",0
Moderately,A little,Moderately,e7a153af443f,txt,opioids,two,A little,Moderately,Moderately,Moderately,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,Undergraduate,36,,,,1679514186997.0,1679515775515.0,26.4753,1st,8,June,27,"The Eagles lost to the Chiefs in a game affected by poor field conditions, which slowed down their pass rushers and was a point of frustration for the players.",0
Moderately,A lot,Extremely,856489f5a0b1,visual,drugOverdose,two,Not at All,Not at All,A little,A little,Moderate problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,High School,46,,,,1679514264856.0,1679515607665.0,22.38015,second,8,Emily,27,The bad quality of the turf had a negative effect on how the Eagles played in the Superbowl. ,0
Moderately,Moderately,A lot,856489f5a0b1,visual,population,two,Not at All,Not at All,A little,A little,Moderate problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,High School,46,,,,1679514264856.0,1679515607665.0,22.38015,second,8,Emily,27,The bad quality of the turf had a negative effect on how the Eagles played in the Superbowl. ,0
Moderately,Moderately,Extremely,856489f5a0b1,visual,opioids,two,Not at All,Not at All,A little,A little,Moderate problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,High School,46,,,,1679514264856.0,1679515607665.0,22.38015,second,8,Emily,27,The bad quality of the turf had a negative effect on how the Eagles played in the Superbowl. ,0
Moderately,A little,Extremely,261adba4de5e,txt,drugOverdose,two,Moderately,A little,A lot,Moderately,Serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Woman,White/Caucasian/European,High School,19,,,,1679514277889.0,1679515255293.0,16.290066666666668,Second,8,June,27,The turf played on during the 2023 Super Bowl was not adequate for the game and made it difficult for both teams to play.,0
Moderately,A lot,Extremely,261adba4de5e,txt,population,two,Moderately,A little,A lot,Moderately,Serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Woman,White/Caucasian/European,High School,19,,,,1679514277889.0,1679515255293.0,16.290066666666668,Second,8,June,27,The turf played on during the 2023 Super Bowl was not adequate for the game and made it difficult for both teams to play.,0
Moderately,A lot,Extremely,261adba4de5e,txt,opioids,two,Moderately,A little,A lot,Moderately,Serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Woman,White/Caucasian/European,High School,19,,,,1679514277889.0,1679515255293.0,16.290066666666668,Second,8,June,27,The turf played on during the 2023 Super Bowl was not adequate for the game and made it difficult for both teams to play.,0
Moderately,Not at All,Not at All,9dda3d88ac7a,control,drugOverdose,two,A lot,A lot,A lot,A lot,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,40,,,,1679514322023.0,1679515523836.0,20.030216666666668,second,8,Emily,27,The Eagles coach says the field turf affected his players and may have been a factor in them losing.,0
Moderately,Moderately,Moderately,9dda3d88ac7a,control,population,two,A lot,A lot,A lot,A lot,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,40,,,,1679514322023.0,1679515523836.0,20.030216666666668,second,8,Emily,27,The Eagles coach says the field turf affected his players and may have been a factor in them losing.,0
Moderately,Moderately,Moderately,9dda3d88ac7a,control,opioids,two,A lot,A lot,A lot,A lot,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,40,,,,1679514322023.0,1679515523836.0,20.030216666666668,second,8,Emily,27,The Eagles coach says the field turf affected his players and may have been a factor in them losing.,0
Extremely,Not at All,Extremely,b5e5e21201c2,control,drugOverdose,two,Extremely,Extremely,Extremely,Extremely,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,Masters,26,,,,1679514872885.0,1679515294242.0,7.022616666666667,Second,8,Emily,27',Poor turf quality during the 2023 Super Bowl caused issues for play with players slipping on both teams.,0
Extremely,Not at All,Extremely,b5e5e21201c2,control,population,two,Extremely,Extremely,Extremely,Extremely,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,Masters,26,,,,1679514872885.0,1679515294242.0,7.022616666666667,Second,8,Emily,27',Poor turf quality during the 2023 Super Bowl caused issues for play with players slipping on both teams.,0
Extremely,Not at All,Extremely,b5e5e21201c2,control,opioids,two,Extremely,Extremely,Extremely,Extremely,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,Masters,26,,,,1679514872885.0,1679515294242.0,7.022616666666667,Second,8,Emily,27',Poor turf quality during the 2023 Super Bowl caused issues for play with players slipping on both teams.,0
Extremely,Extremely,Extremely,2a812872b2bc,txt,drugOverdose,two,Moderately,Moderately,Moderately,A lot,Moderate problem,Low Priority,Strongly Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,High School,34,,,,1679517073921.0,1679518076241.0,16.705333333333332,first,8,June,27',Reddick is basically blaming the field being a factor in the Eagles not winning even if both teams had the same disadvantage.,0
Extremely,Extremely,Extremely,2a812872b2bc,txt,population,two,Moderately,Moderately,Moderately,A lot,Moderate problem,Low Priority,Strongly Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,High School,34,,,,1679517073921.0,1679518076241.0,16.705333333333332,first,8,June,27',Reddick is basically blaming the field being a factor in the Eagles not winning even if both teams had the same disadvantage.,0
Extremely,Extremely,Extremely,2a812872b2bc,txt,opioids,two,Moderately,Moderately,Moderately,A lot,Moderate problem,Low Priority,Strongly Favor,Extremely serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,High School,34,,,,1679517073921.0,1679518076241.0,16.705333333333332,first,8,June,27',Reddick is basically blaming the field being a factor in the Eagles not winning even if both teams had the same disadvantage.,0
A little,Moderately,A lot,7916ef514c2b,control,drugOverdose,two,Extremely,A lot,Moderately,A lot,Serious problem,Low Priority,Somewhat Oppose,serious problem,Low Priority,Neutral,Woman,White/Caucasian/European,High School,19,,,,1679527005167.0,1679527337892.0,5.545416666666667,first,8,Emily,9,"The turf for the superbowl game was bad, but it wasn't unfair to either team",0
Moderately,Moderately,A lot,7916ef514c2b,control,population,two,Extremely,A lot,Moderately,A lot,Serious problem,Low Priority,Somewhat Oppose,serious problem,Low Priority,Neutral,Woman,White/Caucasian/European,High School,19,,,,1679527005167.0,1679527337892.0,5.545416666666667,first,8,Emily,9,"The turf for the superbowl game was bad, but it wasn't unfair to either team",0
Moderately,Moderately,A lot,7916ef514c2b,control,opioids,two,Extremely,A lot,Moderately,A lot,Serious problem,Low Priority,Somewhat Oppose,serious problem,Low Priority,Neutral,Woman,White/Caucasian/European,High School,19,,,,1679527005167.0,1679527337892.0,5.545416666666667,first,8,Emily,9,"The turf for the superbowl game was bad, but it wasn't unfair to either team",0
A lot,Extremely,Extremely,f778e7e1d855,visual,drugOverdose,two,A lot,Moderately,A lot,A lot,Serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Man,White/Caucasian/European,Masters,45,,,,1679527015317.0,1679527603015.0,9.794966666666667,second,8,Emily,0,The Eagles felt frustrated by the field condtions,0
A lot,Moderately,Extremely,f778e7e1d855,visual,population,two,A lot,Moderately,A lot,A lot,Serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Man,White/Caucasian/European,Masters,45,,,,1679527015317.0,1679527603015.0,9.794966666666667,second,8,Emily,0,The Eagles felt frustrated by the field condtions,0
Extremely,Extremely,Extremely,f778e7e1d855,visual,opioids,two,A lot,Moderately,A lot,A lot,Serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Man,White/Caucasian/European,Masters,45,,,,1679527015317.0,1679527603015.0,9.794966666666667,second,8,Emily,0,The Eagles felt frustrated by the field condtions,0
Extremely,Extremely,Extremely,0e0624bac2ef,txt,drugOverdose,two,Extremely,A little,A little,A lot,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,Undergraduate,44,,,,1679527016458.0,1679527770662.0,12.570066666666667,second,eight,Emily,Nine,"The field at the Super Bowl this year was terrible, causing trouble for the Eagles and the Chiefs. However, it was not the reason the Eagles lost, said their coach. ",0
Extremely,Extremely,Extremely,0e0624bac2ef,txt,population,two,Extremely,A little,A little,A lot,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,Undergraduate,44,,,,1679527016458.0,1679527770662.0,12.570066666666667,second,eight,Emily,Nine,"The field at the Super Bowl this year was terrible, causing trouble for the Eagles and the Chiefs. However, it was not the reason the Eagles lost, said their coach. ",0
Extremely,Extremely,Extremely,0e0624bac2ef,txt,opioids,two,Extremely,A little,A little,A lot,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Woman,White/Caucasian/European,Undergraduate,44,,,,1679527016458.0,1679527770662.0,12.570066666666667,second,eight,Emily,Nine,"The field at the Super Bowl this year was terrible, causing trouble for the Eagles and the Chiefs. However, it was not the reason the Eagles lost, said their coach. ",0
Moderately,A lot,Moderately,3d9093104eab,visual,drugOverdose,two,Not at All,Not at All,Not at All,Not at All,Serious problem,Neutral,Somewhat Oppose,serious problem,Neutral,Strongly Oppose,Man,White/Caucasian/European,High School,34,,,,1679527018460.0,1679527995994.0,16.292233333333332,second,8,Emily,3,"After the Chiefs beat the Eagles in the Super bowl, the Eagles complained about the field conditions, but acknowledged it was not the reason they lost.",0
Moderately,Moderately,Moderately,3d9093104eab,visual,population,two,Not at All,Not at All,Not at All,Not at All,Serious problem,Neutral,Somewhat Oppose,serious problem,Neutral,Strongly Oppose,Man,White/Caucasian/European,High School,34,,,,1679527018460.0,1679527995994.0,16.292233333333332,second,8,Emily,3,"After the Chiefs beat the Eagles in the Super bowl, the Eagles complained about the field conditions, but acknowledged it was not the reason they lost.",0
Moderately,Moderately,Moderately,3d9093104eab,visual,opioids,two,Not at All,Not at All,Not at All,Not at All,Serious problem,Neutral,Somewhat Oppose,serious problem,Neutral,Strongly Oppose,Man,White/Caucasian/European,High School,34,,,,1679527018460.0,1679527995994.0,16.292233333333332,second,8,Emily,3,"After the Chiefs beat the Eagles in the Super bowl, the Eagles complained about the field conditions, but acknowledged it was not the reason they lost.",0
Moderately,A little,A lot,35c9f04b6bb9,txt,drugOverdose,two,A little,Not at All,A little,A little,Moderate problem,Neutral,Neutral,serious problem,Moderate Priority,Somewhat Oppose,Man,White/Caucasian/European,Undergraduate,31,,,,1679527027084.0,1679528534528.0,25.124066666666668,second,8,June,27,The field of the Superbowl was really bad and affected both teams and it should have been better given the fact that it is the NFL.,0
Moderately,Moderately,A lot,35c9f04b6bb9,txt,population,two,A little,Not at All,A little,A little,Moderate problem,Neutral,Neutral,serious problem,Moderate Priority,Somewhat Oppose,Man,White/Caucasian/European,Undergraduate,31,,,,1679527027084.0,1679528534528.0,25.124066666666668,second,8,June,27,The field of the Superbowl was really bad and affected both teams and it should have been better given the fact that it is the NFL.,0
Moderately,Moderately,A lot,35c9f04b6bb9,txt,opioids,two,A little,Not at All,A little,A little,Moderate problem,Neutral,Neutral,serious problem,Moderate Priority,Somewhat Oppose,Man,White/Caucasian/European,Undergraduate,31,,,,1679527027084.0,1679528534528.0,25.124066666666668,second,8,June,27,The field of the Superbowl was really bad and affected both teams and it should have been better given the fact that it is the NFL.,0
A lot,Extremely,Extremely,6e0aa9ba5a75,control,drugOverdose,two,Moderately,Moderately,A lot,Extremely,Serious problem,Low Priority,Strongly Favor,serious problem,Neutral,Strongly Favor,Man,other,Undergraduate,30,Mixed Caucasian/Native American,,,1679527028605.0,1679529554963.0,42.10596666666667,first,eight,June,27,"During the 2023 Super Bowl, both teams stated that they experienced trouble with the turf quality of the field.",0
